property_type,place,area,furnishing_details,society,bedrooms,bathroom,balcony,price_per_sqft,price,latitude,longitude
house,vastral,400.0,unfurnished,h k karnavati homes,4,4.0,1.0,52500.0,2.1,22.9948656,72.6624431
house,ghodasar,990.0,unfurnished,,2,2.0,1.0,3030.0,0.3,22.99124285,72.61642315668566
house,sabarmati,2700.0,unfurnished,,6,4.0,2.0,5556.0,1.5,23.0770712,72.5890677
house,ghatlodiya,2151.0,unfurnished,,3,3.0,3.0,8833.0,1.9,23.075569,72.549728
house,isanpur,3375.0,furnished,,5,4.0,1.0,11852.0,4.0,22.9811295,72.6012948
house,nava naroda,450.0,semi-furnished,adiswarnagar co hsg,2,1.0,3.0,15556.0,0.7,23.0687402,72.6734956
house,sanand,1970.0,semi-furnished,prerna aashtamangal,3,4.0,3.0,4315.0,0.85,23.0238876,72.3851475
house,maninagar west,1980.0,furnished,,4,3.0,3.0,0.0,2.0,22.994275479193515,72.61303158035088
house,maninagar,1530.0,semi-furnished,,4,2.0,2.0,19542.0,2.99,22.9986596,72.6114013
house,thaltej,1200.0,semi-furnished,,7,6.0,2.0,20833.0,2.5,23.0485393,72.511742
house,fatehpura,4995.0,semi-furnished,,4,5.0,1.0,7988.0,3.99,23.00681106521125,72.56120460391013
house,chandra nagar,4050.0,furnished,,5,5.0,2.0,6173.0,2.5,23.00182724887917,72.55730110945495
house,lambha,1476.0,furnished,,3,3.0,3.0,4404.0,0.65,22.9317728,72.5749418
house,maninagar,1400.0,unfurnished,,4,3.0,2.0,10714.0,1.5,22.9986596,72.6114013
house,motera,2520.0,furnished,,3,3.0,1.0,7937.0,2.0,23.0917717,72.59733447335586
house,odhav,1200.0,unfurnished,,3,3.0,1.0,5833.0,0.7,23.0185001,72.65776469426447
house,sanand,225.0,semi-furnished,,3,4.0,2.0,33333.0,0.75,23.0238876,72.3851475
